Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1719133158.773260,1021400,0,1
2,Q2,1719133159.867583,46923,0,1
3,Q3,1719133160.036270,81308,0,1
4,Q4,1719133160.141691,22739,0,1
5,Q5,1719133160.222403,49894,0,1
6,Q6,1719133160.324452,50419,0,1
7,Q7,1719133160.434730,54104,0,1
8,Q8,1719133160.623041,130904,0,1
9,Q9,1719133160.919230,160378,0,1
10,Q10,1719133161.216180,133984,0,1
11,Q11,1719133161.361111,10503,0,1
12,Q12,1719133161.445958,72832,0,1
13,Q13,1719133161.628678,110509,0,1
14,Q14,1719133161.758338,17813,0,1
15,Q15,1719133161.842195,83318,0,1
16,Q16,1719133161.994462,68523,0,1
17,Q17,1719133162.181516,97158,0,1
18,Q18,1719133162.628892,353776,0,1
19,Q19,1719133162.994341,9399,0,1
20,Q20,1719133163.038694,27434,0,1
21,Q21,1719133163.163885,93404,0,1
22,Q22,1719133163.280234,20821,0,1
